run,year,cumulative cost_non_intervention_by_person,cumulative cost_intervention_by_person,cumulative cost_increment_by_person,cumulative qaly_non_intervention_by_person,cumulative qaly_intervention_by_person,cumulative qaly_increment_by_person,icer
0001,1,6985.5042,6985.5042,0.0,0.71467115,0.71467115,0.0,0
0001,2,14339.9248,14339.9248,0.0,1.38293358,1.38293358,0.0,0
0001,3,21674.8119,21674.8119,0.0,2.01084876,2.01084876,0.0,0
0001,4,29257.0555,29257.0555,0.0,2.59535346,2.59535346,0.0,0
0001,5,36694.3211,36694.3211,0.0,3.13791243,3.13791243,0.0,0
0001,6,44172.7829,44172.7829,0.0,3.64491771,3.64491771,0.0,0
0001,7,51564.3812,51564.3812,0.0,4.1133868399999995,4.1133868399999995,0.0,0
0001,8,58980.3814,58980.3814,0.0,4.55209436,4.55209436,0.0,0
0001,9,66378.9512,66378.9512,0.0,4.96062035,4.96062035,0.0,0
0001,10,73632.1539,73632.1539,0.0,5.33594536,5.33594536,0.0,0
0001,11,80782.794,80782.794,0.0,5.68287109,5.68287109,0.0,0
0001,12,87692.1935,87692.1935,0.0,6.00243054,6.00243054,0.0,0
0001,13,94583.5003,94583.5003,0.0,6.29700024,6.29700024,0.0,0
0001,14,101265.9618,101265.9618,0.0,6.56735955,6.56735955,0.0,0
0001,15,107627.5422,107627.5422,0.0,6.81482617,6.81482617,0.0,0
0001,16,113719.3672,113719.3672,0.0,7.03916548,7.03916548,0.0,0
0001,17,119765.7683,119765.7683,0.0,7.24773496,7.24773496,0.0,0
0001,18,125456.1304,125456.1304,0.0,7.435297019999999,7.435297019999999,0.0,0
0001,19,130884.5653,130884.5653,0.0,7.60421927,7.60421927,0.0,0
0001,20,136080.6317,136080.6317,0.0,7.75547993,7.75547993,0.0,0
0001,21,141102.106,141102.106,0.0,7.892430740000001,7.892430740000001,0.0,0
0001,22,145849.8596,145849.8596,0.0,8.01400097,8.01400097,0.0,0
0001,23,150276.2237,150276.2237,0.0,8.1235225,8.1235225,0.0,0
0001,24,154324.5356,154324.5356,0.0,8.21963706,8.21963706,0.0,0
0001,25,158183.7421,158183.7421,0.0,8.3059114,8.3059114,0.0,0
0001,26,161721.5276,161721.5276,0.0,8.38146781,8.38146781,0.0,0
0001,27,165004.6532,165004.6532,0.0,8.44837715,8.44837715,0.0,0
0001,28,167980.2924,167980.2924,0.0,8.5071153,8.5071153,0.0,0
0001,29,170649.1082,170649.1082,0.0,8.55679193,8.55679193,0.0,0
0001,30,173078.1515,173078.1515,0.0,8.60054759,8.60054759,0.0,0
0001,31,175317.7514,175317.7514,0.0,8.63873153,8.63873153,0.0,0
0001,32,177282.3472,177282.3472,0.0,8.67144014,8.67144014,0.0,0
0001,33,179073.535,179073.535,0.0,8.699414659999999,8.699414659999999,0.0,0
0001,34,180661.4579,180661.4579,0.0,8.72324182,8.72324182,0.0,0
0001,35,182011.0699,182011.0699,0.0,8.743203170000001,8.743203170000001,0.0,0
0001,36,183164.3405,183164.3405,0.0,8.759718529999999,8.759718529999999,0.0,0
0001,37,184169.7465,184169.7465,0.0,8.773139350000001,8.773139350000001,0.0,0
0001,38,185050.8281,185050.8281,0.0,8.78475738,8.78475738,0.0,0
0001,39,185811.5825,185811.5825,0.0,8.79446661,8.79446661,0.0,0
0001,40,186454.3589,186454.3589,0.0,8.80237797,8.80237797,0.0,0
0001,41,186996.4145,186996.4145,0.0,8.80885561,8.80885561,0.0,0
0001,42,187435.0443,187435.0443,0.0,8.81399469,8.81399469,0.0,0
0001,43,187781.2465,187781.2465,0.0,8.81802091,8.81802091,0.0,0
0001,44,188074.8786,188074.8786,0.0,8.82123633,8.82123633,0.0,0
0001,45,188305.1012,188305.1012,0.0,8.82375813,8.82375813,0.0,0
0001,46,188493.7243,188493.7243,0.0,8.8257542,8.8257542,0.0,0
0001,47,188636.4944,188636.4944,0.0,8.827312390000001,8.827312390000001,0.0,0
0001,48,188732.1355,188732.1355,0.0,8.82845026,8.82845026,0.0,0
0001,49,188815.8894,188815.8894,0.0,8.82934283,8.82934283,0.0,0
0001,50,188880.2979,188880.2979,0.0,8.83003144,8.83003144,0.0,0
0001,51,188929.084,188929.084,0.0,8.83058039,8.83058039,0.0,0
0001,52,188974.7442,188974.7442,0.0,8.8310442,8.8310442,0.0,0
0001,53,189013.6618,189013.6618,0.0,8.83142104,8.83142104,0.0,0
0001,54,189041.2713,189041.2713,0.0,8.83167708,8.83167708,0.0,0
0001,55,189060.751,189060.751,0.0,8.83186577,8.83186577,0.0,0
0001,56,189071.7456,189071.7456,0.0,8.83200171,8.83200171,0.0,0
0001,57,189081.3768,189081.3768,0.0,8.832105460000001,8.832105460000001,0.0,0
0001,58,189087.4208,189087.4208,0.0,8.83217108,8.83217108,0.0,0
0001,59,189091.7081,189091.7081,0.0,8.83222479,8.83222479,0.0,0
0001,60,189093.8991,189093.8991,0.0,8.832266319999999,8.832266319999999,0.0,0
0001,61,189096.9214,189096.9214,0.0,8.8322983,8.8322983,0.0,0
0001,62,189098.0912,189098.0912,0.0,8.83231711,8.83231711,0.0,0
0001,63,189098.2816,189098.2816,0.0,8.83232152,8.83232152,0.0,0
0001,64,189098.8045,189098.8045,0.0,8.83232533,8.83232533,0.0,0
